tag,sex,mouseid,day,object,behavior,start,end,cohort,genotype,treatment
3427,M,3427M ,2,1,climbing,1:01,1:02,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,climbing,2:50,2:51,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,climbing,3:16,3:18,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,climbing,5:16,5:18,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,climbing,6:30,6:34,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,climbing,6:40,6:43,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,climbing,7:41,7:44,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,climbing,7:53,7:54,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,climbing,7:57,7:58,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,gen sniff/poke,0:21,0:22,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,gen sniff/poke,5:28,5:29,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,gen sniff/poke,6:26,6:27,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,gen sniff/poke,7:39,7:40,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,gen sniff/poke,7:45,7:47,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,gen sniff/poke,7:51,7:52,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,direct sniff,1:03,1:04,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,1,direct sniff,3:14,3:15,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,0:54,0:56,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,2:05,2:07,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,2:14,2:16,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,2:27,2:29,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,2:33,2:34,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,3:58,4:01,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,4:40,4:41,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,5:39,5:42,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,climbing,6:12,6:18,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,gen sniff/poke,0:52,0:53,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,gen sniff/poke,1:50,1:51,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,gen sniff/poke,3:57,3:58,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,gen sniff/poke,4:02,4:03,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,gen sniff/poke,4:38,4:39,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,gen sniff/poke,8:12,8:13,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,direct sniff,0:10,0:11,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,direct sniff,2:13,2:14,3,Rbp4-LMO3,CTZ
3427,M,3427M ,2,2,direct sniff,2:29,2:30,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,climbing,1:57,1:59,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,climbing,3:23,3:24,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,climbing,6:31,6:33,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,climbing,7:43,7:45,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,climbing,9:17,9:19,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,gen sniff/poke,1:43,1:45,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,gen sniff/poke,3:41,3:42,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,gen sniff/poke,6:35,6:36,3,Rbp4-LMO3,CTZ
3427,M,3427M ,3,1,gen sniff/poke,9:32,9:33,3,Rbp4-LMO3,CTZ
