cohort,tag,toe,sex,dam,DOB,genotype,treatment,sum,average,bouts,date tested
3,3427,3,M,3244,6/10/23,Rbp4-LMO3,CTZ,26,4.333333333,6,10/23/23
3,3428,4,M,3244,6/10/23,wt-LMO3,CTZ,25,2.777777778,9,10/23/23
3,3440,1,F,3244,6/10/23,Rbp4-LMO3,CTZ,19,4.75,4,10/23/23
3,3429,2,F,3244,6/10/23,wt-LMO3,CTZ,23,3.833333333,6,10/23/23
4,3432,5,M,3246,6/20/23,Rbp4-LMO3,CTZ,61,3.5882353,17,1/3/24
4,3434,,M,3246,6/20/23,wt-LMO3,CTZ,11,11,1,1/1/24
4,3435,,M,3246,6/20/23,Rbp4-LMO3,CTZ,32,6.4,5,1/1/24
4,3436,,M,3246,6/20/23,wt-LMO3,CTZ,33,3.3,10,1/3/24
4,3437,,F,3246,6/20/23,Rbp4-LMO3,CTZ,39,5.5714286,7,10/31/23
4,3438,,F,3246,6/20/23,wt-LMO3,CTZ,34,4.25,8,10/31/23
4,3439,,F,3246,6/20/23,Rbp4-LMO3,CTZ,40,3.3333333,12,10/31/23
4,3440,,F,3244,6/10/23,Rbp4-LMO3,CTZ,43,3.9090909,11,10/31/23
5,3444,1,F,3246,7/14/23,wt-LMO3,CTZ,39,5.6,6,10/23/23
5,3445,4,F,3246,7/14/23,wt-LMO3,CTZ,17,8.5,2,10/23/23
5,3443,5,M,3246,7/14/23,Rbp4-LMO3,CTZ,82,13.6666667,6,10/22/23
5,3441,3,M,3246,7/14/23,Rbp4-LMO3,CTZ ,113,7.0625,16,10/22/23
5,3442,2,M,3246,7/14/23,wt-LMO3,CTZ,97,5.70588235,17,10/22/23
6,3519,6,F,3377,8/10/23,wt-LMO3,CTZ,16,3.5,5,3/4/24
6,3520,7,F,3377,8/10/23,Rbp4-LMO3,CTZ,32,3.555555556,9,3/4/24
6,3521,5,F,3377,8/10/23,wt-LMO3,CTZ,49,5.444444444,9,3/4/24
6,3517,1,M,3377,8/10/23,wt-LMO3,CTZ,18,6,3,12/27/23
6,3515,3,M,3377,8/10/23,Rbp4-LMO3,CTZ,56,3.733333333,15,12/27/23
6,3514,2,M,3377,8/10/23,wt-LMO3,CTZ,29,3.625,8,12/28/23
6,3518,4,M,3377,8/10/23,Rbp4-LMO3,CTZ,186,8.857142857,21,12/27/23
6,3516,8,M,3377,8/10/23,wt-LMO3,CTZ,18,3,6,12/27/23
7,3525,1,F,3378,8/14/23,Rbp4-LMO3,CTZ,28,5.6,5,3/7/24
7,3552,3,F,3378,8/14/23,Rbp4-LMO3,CTZ,53,13.25,4,3/7/24
7,3551,5,F,3378,8/14/23,Rbp4-LMO3,CTZ,21,3.5,6,3/7/24
7,3553,6,F,3378,8/14/23,wt-LMO3,CTZ,29,3.222222222,9,3/7/24
7,3524,8,F,3378,8/14/23,wt-LMO3,CTZ,28,3.111111111,9,3/7/24
7,3522,2,M,3378,8/14/23,Rbp4-LMO3,CTZ,7,7,1,3/5/24
7,3523,7,M,3378,8/14/23,Rbp4-LMO3,CTZ,147,18.375,8,3/5/24
8,3558,5,F,3243,8/28/23,wt-LMO3,CTZ,6,6,1,5/8/24
8,3557,6,F,3243,8/28/23,Rbp4-LMO3,CTZ,33,6.6,5,5/8/24
8,3556,7,F,3243,8/28/23,wt-LMO3,CTZ,65,8.125,8,5/8/24
8,3555,3,M,3243,8/28/23,wt-LMO3,CTZ,41,8.2,5,5/8/24
8,3554,4,M,3243,8/28/23,Rbp4-LMO3,CTZ,26,13,2,5/8/24
9,3562,7,F,3377,9/3/23,Rbp4-LMO3,CTZ,42,2.625,16,5/9/24
9,3563,4,F,3377,9/3/23,wt-LMO3,CTZ ,39,3.9,10,5/9/24
9,3564,5,F,3377,9/3/23,Rbp4-LMO3,CTZ ,34,4.85714286,7,5/9/24
9,3565,3,F,3377,9/3/23,Rbp4-LMO3,CTZ,34,3.4,10,5/9/24
9,3559,6,M,3377,9/3/23,Rbp4-LMO3,CTZ ,7,3.5,2,5/14/24
9,3560,1,M,3377,9/3/23,wt-LMO3,CTZ ,42,6,7,5/14/24
9,3561,2,M,3377,9/3/23,Rbp4-LMO3,CTZ ,13,3.25,4,5/14/24
10,3550,5,M,3378,9/8/23,wt-LMO3,CTZ ,12,6,2,5/15/24
10,3548,1,M,3378,9/8/23,Rbp4-LMO3,CTZ,6,6,1,5/15/24
10,3549,8,M,3378,9/8/23,wt-LMO3,CTZ ,32,4,8,5/15/24
10,2838,6,F,3378,9/8/23,wt-LMO3,CTZ ,18,6,3,5/16/24
10,2806,3,F,3378,9/8/23,Rbp4-LMO3,CTZ ,6,2,3,5/16/24
10,2808,7,F,3378,9/8/23,wt-LMO3,CTZ ,21,4.2,5,5/16/24
10,2809,2,F,3378,9/8/23,Rbp4-LMO3,CTZ,11,2.75,4,5/16/24
10,2839,4,F,3378,9/8/23,Rbp4-LMO3,CTZ ,17,2.83333333,6,5/16/24
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,`,,
