cohort,tag,toe,sex,dam,DOB,genotype,treatment,summouse1,summouse2,avgmouse1,avgmouse2,boutmouse1,boutmouse2,date tested ,,
3,3427,3,M,3244,6/10/23,Rbp4-LMO3,CTZ,26,42,2.6,4.6666667,10,9,11/29/23,,
3,3428,4,M,3244,6/10/23,wt-LMO3,CTZ,51,52,5.1,5.7777778,10,9,11/29/23,,
4,3434,4,M,3246,6/20/23,wt-LMO3,CTZ,42,60,10.5,4.61538462,4,13,5/8/24,,
4,3435,3,M ,3426,6/20/23,Rbp4-LMO3,CTZ,12,36,2.4,7.2,5,5,5/8/24,,
4,3436,1,M,3246,6/20/23,wt-LMO3,CTZ,47,65,5.875,5.90909091,8,11,5/8/24,,
5,3442,2,M,3426,7/14/23,wt-LMO3,CTZ ,74,47,8.2222222,9.4,9,5,5/9/24,,
6,3514,2,M,3377,8/10/23,wt-LMO3,CTZ,23,5,2.875,1.66666667,8,3,6/3/24,,
6,3515,3,M,3377,8/10/23,Rbp4-LMO3,CTZ,10,0,2,0,5,0,6/3/24,,
6,3516,8,M,3377,8/10/23,wt-LMO3,CTZ,20,16,2.87514286,2,7,8,6/3/24,,
6,3517,1,M,3377,8/10/23,wt-LMO3,CTZ,23,16,2.55555556,3.2,9,5,6/3/24,,
6,3518,4,M,3377,8/10/23,Rbp4-LMO3,CTZ,22,17,2.44444444,6,9,2.833333333,6/3/24,,
7,3522,2,M,3378,8/14/23,Rbp4-LMO3,CTZ,27,1,2.45454545,1,11,1,6/4/24,,
7,3523,7,M,3378,8/14/23,Rbp4-LMO3,CTZ,0,15,0,3,0,5,6/4/24,,
8,3554,4,M,3243,8/28/23,Rbp4-LMO3,CTZ,10,15,2.5,3,4,5,6/4/24,,
8,3555,3,M,3243,8/28/23,wt-LMO3,CTZ,55,15,7.85714286,3.75,7,4,6/4/24,,
9,3559,6,M,3377,9/3/23,Rbp4-LMO3,CTZ ,36,5,4,2.5,9,2,6/6/24,,
9,3560,1,M,3377,9/3/23,wt-LMO3,CTZ ,9,18,2.25,6,4,3,6/6/24,,
9,3561,2,M,3377,9/3/23,Rbp4-LMO3,CTZ ,8,40,2.66666667,2.85714286,3,14,6/6/24,,
10,3548,1,M,3378,9/8/23,Rbp4-LMO3,CTZ,15,16,2.5,2.66666667,6,6,6/7/24,,
10,3549,8,M,3378,9/8/23,wt-LMO3,CTZ ,23,20,2.875,2.5,8,8,6/7/24,,
10,3550,5,M,3378,9/8/23,wt-LMO3,CTZ ,4,34,2,3.4,2,10,6/7/24,,
3,3429,2,F ,3244,6/10/23,wt-LMO3,CTZ,12,37,2.4,2.4666667,5,15,3/28/24,,`
3,3440,1,F ,3244,6/10/23,Rbp4-LMO3,CTZ,13,15,4.3333333,3.75,3,4,3/28/24,,
4,3437,9,F ,3246,6/20/23,Rbp4-LMO3,CTZ,12,14,2.4,2.8,5,5,5/7/24,,
4,3438,6,F ,3246,6/20/23,wt-LMO3,CTZ ,9,45,3,4.09090909,3,11,5/7/24,,
4,3439,7,F ,3246,6/20/23,rbp4-LMO3,CTZ,22,34,2.75,3.4,8,10,5/7/24,,
5,3445,4,F ,3246,7/14/23,wt-LMO3,CTZ,30,18,3.75,2.5714286,8,7,5/9/24,,
6,3519,6,F ,3377,8/10/23,wt-LMO3,CTZ,15,9,3,1.8,5,5,5/28/24,,
6,3520,7,F ,3377,8/10/23,rbp4-LMO3,CTZ,19,25,2.375,2.08333333,8,12,5/28/24,,
6,3521,5,F ,3377,8/10/23,wt-LMO3,CTZ,33,18,4.125,2,8,9,5/8/24,,
7,3524,8,F ,3378,8/14/23,wt-LMO3,CTZ,18,20,2.25,2.5,8,8,7/2/24,,
7,3525,1,F ,3378,8/14/23,Rbp4-LMO3,CTZ,21,16,1.90909091,3.2,11,5,7/2/24,,
7,3551,5,F ,3378,8/14/23,Rbp4-LMO3,CTZ,21,16,1.90909091,4,11,4,7/2/24,,
7,3552,3,F ,3378,8/14/23,Rbp4-LMO3,CTZ,1,14,1,2.8,1,5,7/2/24,,
7,3553,6,F ,3378,8/14/23,wt-LMO3,CTZ,2,20,2,2.5,1,8,7/2/24,,
8,3556,7,F ,3243,8/28/23,wt-LMO3,CTZ,19,21,2.71428571,2.1,7,10,7/8/24,,
8,3557,6,F ,3243,8/28/23,Rbp4-LMO3,CTZ,5,9,1.66666667,2.25,3,4,7/8/24,,
8,3558,5,F ,3243,8/28/23,wt-LMO3,CTZ ,8,13,2,1.85714286,4,7,7/8/24,,
9,3562,7,F ,3377,9/3/23,Rbp4-LMO3,CTZ,19,15,3.16666667,2.5,6,6,7/9/24,,
9,3563,4,F ,3377,9/3/23,wt-LMO3,CTZ,13,32,1.85714286,5.33333333,7,6,7/9/24,,
9,3564,5,F ,3377,9/3/23,Rbp4-LMO3,CTZ ,4,19,1.33333333,3.16666667,3,6,7/9/24,,
9,3565,3,F ,3377,9/3/23,Rbp4-LMO3,CTZ,18,11,2.57142857,3.66666667,7,3,7/9/24,,
10,2808,7,F ,3378,9/8/23,wt-LMO3,CTZ,20,13,2.5,2.16666667,8,6,7/10/24,,
10,2809,2,F ,3378,9/8/23,Rbp4-LMO3,CTZ,8,3,4,1.5,2,2,7/10/24,,
10,2838,6,F ,3378,9/8/23,wt-LMO3,CTZ,12,8,2.4,2,5,4,7/10/24,,
10,2839,4,F ,3378,9/8/23,Rbp4-LMO3,CTZ,4,9,1.33333333,1.5,3,6,7/10/24,,
