MouseID,Day,Object,Behavior,Start,End,Cohort ,,
3427M ,2,1,climbing,1:01,1:02,3,,
3427M ,2,1,climbing,2:50,2:51,3,,
3427M ,2,1,climbing,3:16,3:18,3,,
3427M ,2,1,climbing,5:16,5:18,3,,
3427M ,2,1,climbing,6:30,6:34,3,,
3427M ,2,1,climbing,6:40,6:43,3,,
3427M ,2,1,climbing,7:41,7:44,3,,
3427M ,2,1,climbing,7:53,7:54,3,,
3427M ,2,1,climbing,7:57,7:58,3,,
3427M ,2,1,gen sniff/poke,0:21,0:22,3,,
3427M ,2,1,gen sniff/poke,5:28,5:29,3,,
3427M ,2,1,gen sniff/poke,6:26,6:27,3,,
3427M ,2,1,gen sniff/poke,7:39,7:40,3,,
3427M ,2,1,gen sniff/poke,7:45,7:47,3,,
3427M ,2,1,gen sniff/poke,7:51,7:52,3,,
3427M ,2,1,direct sniff,1:03,1:04,3,,
3427M ,2,1,direct sniff,3:14,3:15,3,,
3427M ,2,2,climbing,0:54,0:56,3,,
3427M ,2,2,climbing,2:05,2:07,3,,
3427M ,2,2,climbing,2:14,2:16,3,,
3427M ,2,2,climbing,2:27,2:29,3,,
3427M ,2,2,climbing,2:33,2:34,3,,
3427M ,2,2,climbing,3:58,4:01,3,,
3427M ,2,2,climbing,4:40,4:41,3,,
3427M ,2,2,climbing,5:39,5:42,3,,
3427M ,2,2,climbing,6:12,6:18,3,,
3427M ,2,2,gen sniff/poke,0:52,0:53,3,,
3427M ,2,2,gen sniff/poke,1:50,1:51,3,,
3427M ,2,2,gen sniff/poke,3:57,3:58,3,,
3427M ,2,2,gen sniff/poke,4:02,4:03,3,,
3427M ,2,2,gen sniff/poke,4:38,4:39,3,,
3427M ,2,2,gen sniff/poke,8:12,8:13,3,,
3427M ,2,2,direct sniff,0:10,0:11,3,,
3427M ,2,2,direct sniff,2:13,2:14,3,,
3427M ,2,2,direct sniff,2:29,2:30,3,,
3427M ,3,1,climbing,1:57,1:59,3,,
3427M ,3,1,climbing,3:23,3:24,3,,
3427M ,3,1,climbing,6:31,6:33,3,,
3427M ,3,1,climbing,7:43,7:45,3,,
3427M ,3,1,climbing,9:17,9:19,3,,
3427M ,3,1,gen sniff/poke,1:43,1:45,3,,
3427M ,3,1,gen sniff/poke,3:41,3:42,3,,
3427M ,3,1,gen sniff/poke,6:35,6:36,3,,
3427M ,3,1,gen sniff/poke,9:32,9:33,3,,
3427M ,3,1,gen sniff/poke,9:35,9:36,3,,
3427M ,3,1,direct sniff,0:08,0:09,3,,
3427M ,3,2,climbing,0:02,0:03,3,,
3427M ,3,2,climbing,2:13,2:15,3,,
3427M ,3,2,climbing,2:33,2:34,3,,
3427M ,3,2,climbing,3:49,3:52,3,,
3427M ,3,2,climbing,7:28,7:30,3,,
3427M ,3,2,climbing,7:55,7:57,3,,
3427M ,3,2,climbing,9:10,9:12,3,,
3427M ,3,2,gen sniff/poke,2:08,2:09,3,,
3427M ,3,2,gen sniff/poke,2:11,2:12,3,,
3427M ,3,2,gen sniff/poke,7:27,7:28,3,,
3427M ,3,2,direct sniff,0:52,0:53,3,,
3427M ,3,2,direct sniff,7:31,7:32,3,,
3428M ,2,1,gen sniff/poke,1:53,1:54,3,,
3428M ,2,1,gen sniff/poke,2:07,2:10,3,,
3428M ,2,1,direct sniff,1:25,1:26,3,,
3428M ,2,1,direct sniff,3:08,3:10,3,,
3428M ,2,1,direct sniff,5:36,5:37,3,,
3428M ,2,1,direct sniff,5:59,6:00,3,,
3428M ,2,1,direct sniff,9:56,9:57,3,,
3428M ,2,2,climbing,2:23,2:24,3,,
3428M ,2,2,climbing,6:52,6:57,3,,
3428M ,2,2,climbing,7:01,7:03,3,,
3428M ,2,2,climbing,7:03,7:07,3,,
3428M ,2,2,climbing,7:09,7:13,3,,
3428M ,2,2,climbing,8:27,8:29,3,,
3428M ,2,2,climbing,9:14,9:18,3,,
3428M ,2,2,gen sniff/poke,2:24,2:25,3,,
3428M ,2,2,gen sniff/poke,8:22,8:23,3,,
3428M ,2,2,direct sniff,0:17,0:18,3,,
3428M ,2,2,direct sniff,1:44,1:46,3,,
3428M ,2,2,direct sniff,6:22,6:25,3,,
3428M ,2,2,direct sniff,8:46,8:49,3,,
3428M ,3,1,climbing,3:08,3:10,3,,
3428M ,3,1,climbing,3:38,3:39,3,,
3428M ,3,1,climbing,5:10,5:13,3,,
3428M ,3,1,climbing,5:24,5:27,3,,
3428M ,3,1,gen sniff/poke,3:10,3:11,3,,
3428M ,3,1,gen sniff/poke,5:14,5:16,3,,
3428M ,3,1,direct sniff,5:19,5:20,3,,
3428M ,3,2,climbing,0:34,0:35,3,,
3428M ,3,2,climbing,1:29,1:30,3,,
3428M ,3,2,climbing,3:45,3:47,3,,
3428M ,3,2,climbing,3:50,3:52,3,,
3428M ,3,2,climbing,4:51,4:57,3,,
3428M ,3,2,climbing,8:12,8:13,3,,
3428M ,3,2,direct sniff,3:48,3:50,3,,
3429F,2,1,direct sniff,7:36,7:37,3,,
3429F,2,2,gen sniff/poke,3:15,3:16,3,,
3429F,2,2,gen sniff/poke,4:11,4:13,3,,
3429F,2,2,direct sniff,8:29,8:30,3,,
3429F,2,2,direct sniff,8:59,9:00,3,,
3429F,3,1,climbing,3:39,3:41,3,,
3429F,3,1,gen sniff/poke,4:11,4:12,3,,
3429F,3,1,gen sniff/poke,6:06,6:07,3,,
3429F,3,1,direct sniff,3:38,3:39,3,,
3429F,3,2,gen sniff/poke,0:08,0:09,3,,
3429F,3,2,gen sniff/poke,4:26,4:28,3,,
3429F,3,2,gen sniff/poke,8:18,8:20,3,,
3429F,3,2,direct sniff,4:02,4:04,3,,
3430F,2,1,direct sniff,0:07,0:08,3,,
3430F,2,1,direct sniff,4:24,4:25,3,,
3430F,3,1,direct sniff,1:35,1:36,3,,
3430F,3,1,direct sniff,2:16,2:17,3,,
3430F,3,2,direct sniff,2:44,2:45,3,,
3430F,3,2,direct sniff,3:39,3:40,3,,
3430F,3,2,direct sniff,5:59,6:00,3,,
3430F,3,2,direct sniff,8:06,8:07,3,,
3432M,2,1,climbing,8:05,8:07,4,,
